t,aX,aY,aZ
0.0,0.308,0.747,0.302
0.021,0.280,0.549,0.374
0.041,0.313,0.428,0.681
0.062,0.060,0.313,0.731
0.083,-0.055,0.121,1.214
0.103,-0.082,-0.027,1.258
0.124,-0.313,-0.154,1.181
0.145,-0.379,-0.417,0.890
0.166,-0.352,-0.505,0.390
0.186,-0.505,-0.582,0.209
0.207,-0.560,-0.401,-0.049
0.228,-0.516,-0.093,-0.033
0.248,-0.692,0.137,-0.077
0.269,-0.720,0.582,0.225
0.29,-0.659,0.703,0.297
0.31,-0.753,0.753,0.275
0.331,-0.753,0.428,0.121
0.352,-0.648,0.148,-0.137
0.372,-0.758,-0.099,-0.225
0.393,-0.807,-0.341,-0.231
0.414,-0.747,-0.242,0.011
0.435,-0.956,-0.148,0.060
0.455,-1.033,0.181,0.549
0.476,-0.989,0.286,0.873
0.497,-1.159,0.341,0.956
0.517,-1.187,0.027,1.148
0.538,-1.093,-0.187,1.176
0.559,-1.214,-0.379,1.170
0.579,-1.280,-0.500,1.154
0.6,-1.236,-0.352,1.104
0.621,-1.588,-0.159,1.060
0.641,-1.769,0.203,0.972
0.662,-1.829,0.330,0.824
0.683,-2.016,0.406,0.753
0.704,-1.956,0.060,0.522
0.724,-1.736,-0.181,0.291
0.745,-1.566,-0.412,0.203
0.766,-1.511,-0.632,0.027
0.786,-1.384,-0.544,-0.016
0.807,-1.703,-0.396,-0.049
0.828,-1.912,-0.137,0.060
0.848,-2.060,-0.027,0.203
0.869,-2.318,0.066,0.203
0.89,-2.340,-0.088,0.330
0.91,-2.192,-0.159,0.363
0.931,-2.054,-0.236,0.341
0.952,-2.010,-0.209,0.368
0.973,-1.873,-0.060,0.461
0.993,-2.054,0.137,0.445
1.014,-2.230,0.374,0.648
1.035,-2.390,0.461,0.813
1.055,-2.571,0.505,0.829
1.076,-2.587,0.357,0.851
1.097,-2.406,0.291,0.769
1.117,-2.098,0.176,0.687
1.138,-1.994,0.110,0.434
1.159,-1.736,0.148,0.258
1.179,-1.763,0.242,0.148
1.2,-1.901,0.330,0.027
1.221,-1.994,0.352,-0.038
1.242,-2.137,0.352,-0.110
1.262,-2.197,0.236,-0.302
1.283,-2.010,0.203,-0.538
1.304,-1.736,0.181,-0.687
1.324,-1.670,0.291,-1.022
1.345,-1.351,0.417,-1.159
1.366,-1.258,0.670,-1.269
1.386,-1.346,0.978,-1.296
1.407,-1.307,1.093,-1.318
1.428,-1.335,1.241,-1.384
1.448,-1.390,1.214,-1.555
1.469,-1.170,1.181,-1.708
1.49,-0.906,1.121,-1.807
1.511,-0.901,1.132,-1.934
1.531,-0.599,1.159,-1.912
1.552,-0.522,1.340,-1.923
1.573,-0.626,1.527,-1.791
1.593,-0.538,1.577,-1.642
1.614,-0.527,1.703,-1.615
1.635,-0.615,1.659,-1.472
1.655,-0.368,1.609,-1.335
1.676,-0.176,1.588,-1.307
1.697,-0.231,1.588,-1.077
1.717,0.044,1.599,-0.846
1.738,0.110,1.774,-0.764
1.759,-0.016,1.862,-0.571
1.78,0.126,1.835,-0.500
1.8,0.220,1.763,-0.505
1.821,0.110,1.483,-0.593
1.842,0.412,1.362,-0.637
1.862,0.582,1.181,-0.681
1.883,0.489,1.121,-0.742
1.904,0.703,1.082,-0.703
1.924,0.703,1.291,-0.714
1.945,0.566,1.368,-0.731
1.966,0.637,1.335,-0.731
1.986,0.643,1.302,-0.780
2.007,0.511,1.066,-0.901
2.028,0.670,0.961,-0.868
2.049,0.802,0.879,-0.906
2.069,0.720,0.961,-0.797
2.09,0.928,0.945,-0.571
2.111,1.027,1.302,-0.489
2.131,0.956,1.439,-0.335
2.152,1.055,1.434,-0.165
2.173,1.071,1.406,-0.143
2.193,0.983,1.159,-0.126
2.214,0.989,1.066,-0.027
2.235,0.967,0.884,-0.022
2.255,0.879,0.818,-0.055
2.276,0.835,0.780,-0.016
2.297,0.824,0.917,-0.055
2.318,0.747,0.923,-0.220
2.338,0.725,0.923,-0.242
2.359,0.720,0.797,-0.313
2.38,0.643,0.582,-0.434
2.4,0.560,0.533,-0.357
2.421,0.511,0.417,-0.357
2.442,0.401,0.500,-0.341
2.462,0.247,0.500,-0.198
2.483,0.148,0.764,-0.170
2.504,0.033,0.879,-0.115
2.524,-0.154,0.901,0.038
2.545,-0.214,0.813,0.060
2.566,-0.324,0.593,0.093
2.587,-0.341,0.538,0.203
2.607,-0.324,0.341,0.231
2.628,-0.423,0.286,0.192
2.649,-0.802,0.258,0.192
2.669,-1.104,0.374,0.154
2.69,-1.296,0.396,0.038
2.711,-1.351,0.401,0.066
2.731,-0.884,0.374,0.055
2.752,-0.840,0.313,0.176
2.773,-0.214,0.275,0.313
2.793,0.005,0.330,0.396
2.814,-0.049,0.467,0.472
2.835,-0.577,0.483,0.483
2.856,-1.016,0.676,0.456
2.876,-1.291,0.758,0.319
2.897,-1.511,0.753,0.275
2.918,-1.121,0.676,0.236
2.938,-1.110,0.588,0.198
2.959,-0.423,0.538,0.225
2.98,0.005,0.566,0.242
3.0,0.011,0.720,0.198
3.021,-0.231,0.753,0.154
3.042,-0.511,1.027,0.093
3.062,-0.764,1.192,-0.082
3.083,-0.983,1.192,-0.170
3.104,-0.588,1.247,-0.242
3.125,-0.560,1.236,-0.374
3.145,0.126,1.198,-0.385
3.166,0.593,1.208,-0.385
3.187,0.610,1.285,-0.445
3.207,0.417,1.269,-0.483
3.228,0.192,1.368,-0.522
3.249,-0.033,1.406,-0.709
3.269,-0.379,1.357,-0.786
3.29,-0.291,1.313,-0.851
3.311,-0.363,1.285,-0.956
3.331,-0.165,1.236,-0.934
3.352,0.060,1.291,-0.895
3.373,0.033,1.390,-0.868
3.394,-0.082,1.395,-0.818
3.414,-0.181,1.505,-0.769
3.435,-0.335,1.527,-0.807
3.456,-0.588,1.500,-0.780
3.476,-0.533,1.445,-0.758
3.497,-0.588,1.406,-0.807
3.518,-0.445,1.362,-0.802
3.538,-0.203,1.417,-0.786
3.559,-0.165,1.511,-0.868
3.58,-0.049,1.538,-0.895
3.6,0.093,1.664,-0.912
3.621,0.093,1.708,-1.082
3.642,-0.005,1.697,-1.115
3.663,-0.005,1.664,-1.137
3.683,-0.060,1.631,-1.176
3.704,-0.209,1.593,-1.099
3.725,-0.170,1.626,-1.011
3.745,-0.209,1.703,-0.978
3.766,-0.319,1.714,-0.972
3.787,-0.330,1.780,-0.983
3.807,-0.379,1.780,-1.181
3.828,-0.643,1.741,-1.247
3.849,-0.692,1.653,-1.307
3.869,-0.764,1.637,-1.225
3.89,-0.901,1.599,-1.055
3.911,-0.769,1.653,-0.797
3.932,-0.764,1.791,-0.374
3.952,-0.780,1.813,-0.181
3.973,-0.742,1.928,0.044
3.994,-0.769,1.967,0.093
4.014,-1.071,1.961,0.104
4.035,-1.093,1.862,0.110
4.056,-1.159,1.835,0.187
4.076,-1.170,1.785,0.319
4.097,-0.917,1.752,0.588
4.118,-0.846,1.807,0.989
4.138,-0.797,1.807,1.121
4.159,-0.742,1.780,1.318
4.18,-0.758,1.785,1.214
4.201,-1.148,1.752,1.077
4.221,-1.274,1.604,0.846
4.242,-1.384,1.571,0.500
4.263,-1.736,1.511,0.379
4.283,-1.708,1.401,0.297
4.304,-1.752,1.423,0.264
4.325,-1.912,1.379,0.225
4.345,-1.890,1.291,0.236
4.366,-1.939,1.296,0.060
4.387,-2.258,1.247,-0.055
4.407,-2.263,1.110,-0.187
4.428,-2.318,1.110,-0.313
4.449,-2.494,1.049,-0.368
4.47,-2.401,0.923,-0.242
4.49,-2.406,0.917,-0.099
4.511,-2.741,0.851,-0.099
4.532,-2.862,0.637,0.071
4.552,-2.999,0.538,0.088
4.573,-3.494,0.434,0.027
4.594,-3.494,0.214,0.071
4.614,-3.532,0.220,0.060
4.635,-3.461,0.176,0.000
4.656,-3.257,0.159,0.104
4.676,-3.192,0.247,0.082
4.697,-3.642,0.253,0.011
4.718,-3.856,0.220,-0.033
4.739,-4.043,0.225,-0.247
4.759,-4.169,0.187,-0.363
4.78,-3.658,0.093,-0.533
4.801,-3.323,0.143,-0.692
4.821,-2.538,0.132,-0.786
4.842,-2.175,0.192,-0.775
4.863,-2.000,0.231,-0.818
4.883,-2.538,0.231,-0.884
4.904,-2.939,0.104,-0.945
4.925,-3.208,0.016,-1.126
4.945,-3.400,-0.071,-1.198
4.966,-2.966,-0.159,-1.318
4.987,-2.598,-0.088,-1.346
5.008,-1.593,-0.055,-1.362
5.028,-1.099,0.176,-1.126
5.049,-0.753,0.352,-0.851
5.07,-1.077,0.434,-0.780
5.09,-1.472,0.478,-0.406
5.111,-1.741,0.472,-0.214
5.132,-2.027,0.428,-0.181
5.152,-1.692,0.396,-0.093
5.173,-1.318,0.472,-0.170
5.194,-0.434,0.500,-0.198
5.214,-0.016,0.599,-0.242
5.235,0.324,0.626,-0.236
5.256,-0.038,0.626,-0.253
5.277,-0.434,0.500,-0.154
5.297,-0.709,0.450,-0.137
5.318,-1.236,0.385,-0.148
5.339,-1.203,0.428,-0.231
5.359,-1.049,0.588,-0.423
5.38,-0.610,0.692,-0.500
5.401,-0.330,0.923,-0.709
5.421,-0.022,1.027,-0.758
5.442,-0.209,1.077,-0.813
5.463,-0.461,0.950,-0.659
5.483,-0.615,0.884,-0.434
5.504,-1.000,0.802,-0.396
5.525,-0.945,0.714,-0.126
5.546,-0.742,0.758,0.038
5.566,-0.291,0.802,0.055
5.587,0.027,0.873,0.225
5.608,0.412,0.906,0.374
5.628,0.379,0.934,0.396
5.649,0.291,0.791,0.571
5.67,0.258,0.736,0.698
5.69,-0.071,0.665,0.692
5.711,-0.093,0.593,0.807
5.732,0.038,0.681,0.884
5.752,0.231,0.780,0.862
5.773,0.385,0.906,0.939
5.794,0.665,1.005,1.022
5.815,0.610,1.066,1.005
5.835,0.494,0.983,1.077
5.856,0.472,0.967,1.137
5.877,0.220,0.945,1.104
5.897,0.225,0.950,1.121
5.918,0.406,1.060,1.154
5.939,0.676,1.192,1.099
5.959,0.807,1.362,1.143
5.98,1.071,1.450,1.214
6.001,0.879,1.516,1.181
6.021,0.648,1.401,1.241
6.042,0.439,1.329,1.219
6.063,0.033,1.214,1.154
6.084,-0.055,1.088,0.989
6.104,0.027,1.104,0.791
6.125,0.308,1.143,0.670
6.146,0.423,1.252,0.390
6.166,0.698,1.335,0.176
6.187,0.648,1.423,0.044
6.208,0.494,1.456,-0.225
6.228,0.368,1.467,-0.412
6.249,0.077,1.461,-0.527
6.27,-0.033,1.467,-0.758
6.29,0.033,1.522,-0.906
6.311,0.187,1.599,-0.994
6.332,0.220,1.719,-1.115
6.353,0.439,1.780,-1.137
6.373,0.401,1.873,-1.176
6.394,0.275,1.851,-1.154
6.415,0.225,1.824,-1.104
6.435,0.038,1.780,-1.115
6.456,-0.077,1.692,-1.154
6.477,0.049,1.675,-1.225
6.497,0.220,1.714,-1.296
6.518,0.192,1.824,-1.483
6.539,0.374,1.862,-1.582
6.559,0.220,2.000,-1.664
6.58,0.022,1.989,-1.730
6.601,-0.121,1.939,-1.719
6.622,-0.187,1.862,-1.736
6.642,-0.291,1.664,-1.747
6.663,-0.071,1.609,-1.747
6.684,-0.011,1.577,-1.796
6.704,-0.110,1.588,-1.978
6.725,0.088,1.599,-2.115
6.746,0.379,1.703,-2.203
6.766,0.368,1.637,-2.395
6.787,1.016,1.571,-2.395
6.808,1.412,1.461,-2.417
6.828,1.362,1.307,-2.357
6.849,1.428,1.236,-2.181
6.87,1.022,1.302,-2.142
6.891,0.764,1.428,-2.005
6.911,0.461,1.428,-1.807
6.932,0.324,1.637,-1.747
6.953,0.170,1.659,-1.593
6.973,0.599,1.604,-1.494
6.994,1.099,1.637,-1.500
7.015,1.088,1.593,-1.692
7.035,1.505,1.533,-1.604
7.056,1.329,1.544,-1.615
7.077,1.137,1.467,-1.192
7.097,0.720,1.395,-0.445
7.118,0.467,1.346,-0.066
7.139,0.291,1.187,1.066
7.16,0.615,1.099,1.923
7.18,1.088,0.983,2.324
7.201,1.093,0.807,2.681
7.222,1.489,0.736,2.807
7.242,1.406,0.703,2.785
7.263,1.280,0.731,2.752
7.284,0.813,0.709,2.983
7.304,0.319,0.950,3.076
7.325,0.099,1.115,3.263
7.346,-0.231,1.148,3.334
7.366,-0.242,1.247,3.307
7.387,-0.308,1.115,2.818
7.408,-0.231,1.082,2.296
7.429,-0.286,0.862,1.906
7.449,-0.368,0.659,1.143
7.47,-0.687,0.604,0.901
7.491,-0.950,0.566,0.758
7.511,-1.115,0.593,0.862
7.532,-1.302,0.599,1.011
7.553,-1.269,0.659,1.088
7.573,-1.351,0.571,1.066
7.594,-1.203,0.538,0.945
7.615,-0.983,0.357,0.829
7.635,-1.005,0.220,0.703
7.656,-0.868,0.159,0.873
7.677,-0.857,0.187,0.989
7.698,-0.939,0.247,1.566
7.718,-1.115,0.258,2.060
7.739,-1.143,0.352,2.411
7.76,-1.258,0.352,2.862
7.78,-1.236,0.346,2.988
7.801,-1.099,0.319,3.027
7.822,-1.159,0.269,2.664
7.842,-1.148,0.236,2.307
7.863,-1.126,0.247,1.994
7.884,-1.236,0.253,1.324
7.904,-1.346,0.242,0.917
7.925,-1.291,0.264,0.599
7.946,-1.412,0.264,-0.049
7.967,-1.379,0.242,-0.456
7.987,-1.280,0.319,-0.775
8.008,-1.368,0.406,-1.373
8.029,-1.494,0.412,-1.604
8.049,-1.588,0.533,-1.780
8.07,-1.763,0.582,-1.890
8.091,-1.967,0.560,-1.818
8.111,-1.791,0.544,-1.741
8.132,-1.868,0.533,-1.747
8.153,-1.582,0.494,-1.769
8.173,-1.263,0.560,-1.791
8.194,-1.302,0.643,-1.824
8.215,-1.313,0.626,-1.681
8.236,-1.379,0.692,-1.505
8.256,-1.538,0.687,-1.126
8.277,-1.774,0.632,-0.862
8.298,-1.719,0.560,-0.604
8.318,-1.829,0.500,-0.445
8.339,-1.697,0.439,-0.401
8.36,-1.406,0.461,-0.368
8.38,-1.439,0.571,-0.549
8.401,-1.368,0.566,-0.610
8.422,-1.302,0.758,-0.692
8.442,-1.401,0.912,-0.895
8.463,-1.467,0.928,-1.016
8.484,-1.230,1.088,-1.126
8.505,-1.236,1.165,-1.423
8.525,-0.906,1.176,-1.566
8.546,-0.593,1.269,-1.730
8.567,-0.555,1.335,-1.945
8.587,-0.582,1.340,-2.027
8.608,-0.665,1.445,-2.093
