t,aX,aY,aZ
0.0,0.466,-2.000,0.938
2.502,1.081,-0.117,0.482
5.005,1.999,-1.400,-0.105
7.507,1.999,0.047,-0.212
10.01,0.423,0.688,0.902
12.512,0.359,0.895,0.251
15.015,0.337,-0.254,0.121
17.517,0.693,0.242,0.240
20.02,1.193,-0.278,-0.453
22.522,0.968,-0.837,0.074
25.024,1.045,-0.197,0.211
27.527,0.945,-0.067,0.102
30.029,0.757,0.465,0.242
32.532,1.112,0.996,0.288
35.034,0.749,-0.481,0.186
37.537,0.882,0.331,0.300
40.039,1.194,-0.168,-0.356
42.542,1.194,-0.168,-0.356
45.044,1.090,-0.993,-0.143
47.546,1.131,-0.591,0.097
50.049,1.472,-0.008,-0.051
52.551,0.759,0.210,0.449
55.054,0.743,1.124,0.344
57.556,0.456,-0.093,0.015
60.059,0.766,-0.004,0.202
62.561,1.641,0.327,-0.325
65.063,1.514,-0.493,-0.137
67.566,1.523,-0.910,0.074
70.068,1.620,0.742,-0.188
72.571,0.680,-0.149,0.334
75.073,0.531,0.234,0.134
77.576,1.012,0.245,0.090
80.078,1.009,-0.366,-0.030
82.581,1.154,-0.155,-0.007
85.083,1.154,-0.155,-0.007
87.585,1.320,-0.249,0.257
90.088,0.965,-0.142,0.095
92.59,0.800,0.695,0.342
95.093,1.062,0.805,0.315
97.595,0.734,-0.539,0.237
100.098,0.873,0.323,0.230
102.6,1.183,-0.148,-0.325
105.103,1.112,-0.966,-0.126
107.605,1.163,-0.617,0.112
110.107,1.584,0.046,-0.129
112.61,0.743,0.109,0.553
115.112,0.688,1.074,0.253
117.615,0.460,0.109,-0.048
120.117,0.780,-0.083,0.265
122.62,1.585,0.248,-0.283
125.122,1.531,-0.499,-0.079
127.625,1.531,-0.499,-0.079
130.127,1.521,-0.872,0.090
132.629,1.514,0.873,-0.060
135.132,0.726,-0.101,0.261
137.634,0.574,0.112,0.134
140.137,0.991,0.267,0.086
142.639,1.019,-0.341,-0.101
145.142,1.129,-0.235,-0.007
147.644,1.315,-0.273,0.222
150.146,1.012,-0.133,0.132
152.649,0.779,0.571,0.295
155.151,1.056,0.928,0.312
157.654,0.715,-0.405,0.180
160.156,0.780,0.287,0.277
162.659,1.184,-0.141,-0.319
165.161,1.117,-0.970,-0.172
167.664,1.219,-0.661,0.108
170.166,1.219,-0.661,0.108
172.668,1.628,0.101,-0.145
175.171,0.777,0.094,0.562
177.673,0.681,0.949,0.217
180.176,0.459,0.094,-0.062
182.678,0.784,-0.016,0.336
185.181,1.600,0.297,-0.341
187.683,1.565,-0.524,-0.080
190.186,1.516,-0.809,0.094
192.688,1.476,0.902,-0.066
195.19,0.745,-0.098,0.243
197.693,1.535,0.312,-0.356
200.195,1.535,0.312,-0.356
202.698,1.547,-0.466,0.001
205.2,1.547,-0.466,0.001
207.703,1.547,-0.466,0.001
210.205,1.547,-0.466,0.001
212.708,1.547,-0.466,0.001
215.21,1.547,-0.466,0.001
217.712,1.547,-0.466,0.001
220.215,1.547,-0.466,0.001
222.717,1.547,-0.466,0.001
225.22,1.547,-0.466,0.001
227.722,1.547,-0.466,0.001
230.225,1.547,-0.466,0.001
232.727,1.547,-0.466,0.001
235.229,1.547,-0.466,0.001
237.732,1.547,-0.466,0.001
240.234,1.547,-0.466,0.001
242.737,1.547,-0.466,0.001
245.239,1.547,-0.466,0.001
247.742,1.420,-0.629,0.097
250.244,1.420,-0.629,0.097
252.747,1.420,-0.629,0.097
255.249,1.420,-0.629,0.097
257.751,1.420,-0.629,0.097
260.254,1.420,-0.629,0.097
262.756,1.420,-0.629,0.097
265.259,1.420,-0.629,0.097
267.761,1.420,-0.629,0.097
270.264,1.420,-0.629,0.097
272.766,1.420,-0.629,0.097
275.269,1.420,-0.629,0.097
277.771,1.420,-0.629,0.097
280.273,1.420,-0.629,0.097
282.776,1.420,-0.629,0.097
285.278,1.420,-0.629,0.097
287.781,1.420,-0.629,0.097
290.283,1.420,-0.629,0.097
292.786,1.503,0.968,-0.028
295.288,1.503,0.968,-0.028
297.791,1.503,0.968,-0.028
300.293,1.503,0.968,-0.028
302.795,1.503,0.968,-0.028
305.298,1.503,0.968,-0.028
307.8,1.503,0.968,-0.028
310.303,1.503,0.968,-0.028
312.805,1.503,0.968,-0.028
315.308,1.503,0.968,-0.028
317.81,1.503,0.968,-0.028
320.312,1.503,0.968,-0.028
322.815,1.503,0.968,-0.028
325.317,1.503,0.968,-0.028
327.82,1.503,0.968,-0.028
330.322,1.503,0.968,-0.028
332.825,1.503,0.968,-0.028
335.327,1.503,0.968,-0.028
337.83,0.719,-0.153,0.206
340.332,0.719,-0.153,0.206
342.834,0.719,-0.153,0.206
345.337,0.719,-0.153,0.206
347.839,0.719,-0.153,0.206
350.342,0.719,-0.153,0.206
352.844,0.719,-0.153,0.206
355.347,0.719,-0.153,0.206
357.849,0.719,-0.153,0.206
360.352,0.719,-0.153,0.206
362.854,0.719,-0.153,0.206
365.356,0.719,-0.153,0.206
367.859,0.719,-0.153,0.206
370.361,0.719,-0.153,0.206
372.864,0.719,-0.153,0.206
375.366,0.719,-0.153,0.206
377.869,0.719,-0.153,0.206
380.371,0.719,-0.153,0.206
382.874,0.581,0.148,0.201
385.376,0.581,0.148,0.201
387.878,0.581,0.148,0.201
390.381,0.581,0.148,0.201
392.883,0.581,0.148,0.201
395.386,0.581,0.148,0.201
397.888,0.581,0.148,0.201
400.391,0.581,0.148,0.201
402.893,0.581,0.148,0.201
405.396,0.581,0.148,0.201
407.898,0.581,0.148,0.201
410.4,0.581,0.148,0.201
412.903,0.581,0.148,0.201
415.405,0.581,0.148,0.201
417.908,0.581,0.148,0.201
420.41,0.581,0.148,0.201
422.913,0.581,0.148,0.201
425.415,0.581,0.148,0.201
427.917,1.003,0.312,0.047
430.42,1.003,0.312,0.047
432.922,1.003,0.312,0.047
435.425,1.003,0.312,0.047
437.927,1.003,0.312,0.047
440.43,1.003,0.312,0.047
442.932,1.003,0.312,0.047
445.435,1.003,0.312,0.047
447.937,1.003,0.312,0.047
450.439,1.003,0.312,0.047
452.942,1.003,0.312,0.047
455.444,1.003,0.312,0.047
457.947,1.003,0.312,0.047
460.449,1.003,0.312,0.047
462.952,1.003,0.312,0.047
465.454,1.003,0.312,0.047
467.957,1.003,0.312,0.047
470.459,1.003,0.312,0.047
472.961,1.056,-0.438,-0.049
475.464,1.056,-0.438,-0.049
477.966,1.056,-0.438,-0.049
480.469,1.056,-0.438,-0.049
482.971,1.056,-0.438,-0.049
485.474,1.056,-0.438,-0.049
487.976,1.056,-0.438,-0.049
490.479,1.056,-0.438,-0.049
492.981,1.056,-0.438,-0.049
495.483,1.056,-0.438,-0.049
497.986,1.056,-0.438,-0.049
500.488,1.056,-0.438,-0.049
502.991,1.056,-0.438,-0.049
505.493,1.056,-0.438,-0.049
507.996,1.056,-0.438,-0.049
510.498,1.056,-0.438,-0.049
513.0,1.056,-0.438,-0.049
515.503,1.056,-0.438,-0.049
518.005,1.188,-0.165,-0.055
520.508,1.188,-0.165,-0.055
523.01,1.188,-0.165,-0.055
525.513,1.188,-0.165,-0.055
528.015,1.188,-0.165,-0.055
530.518,1.188,-0.165,-0.055
533.02,1.188,-0.165,-0.055
535.522,1.188,-0.165,-0.055
538.025,1.188,-0.165,-0.055
540.527,1.188,-0.165,-0.055
543.03,1.188,-0.165,-0.055
545.532,1.188,-0.165,-0.055
548.035,1.188,-0.165,-0.055
550.537,1.188,-0.165,-0.055
553.04,1.188,-0.165,-0.055
555.542,1.188,-0.165,-0.055
558.044,1.188,-0.165,-0.055
560.547,1.188,-0.165,-0.055
563.049,1.351,-0.219,0.196
565.552,1.351,-0.219,0.196
568.054,1.351,-0.219,0.196
570.557,1.351,-0.219,0.196
573.059,1.351,-0.219,0.196
575.562,1.351,-0.219,0.196
578.064,1.351,-0.219,0.196
580.566,1.351,-0.219,0.196
583.069,1.351,-0.219,0.196
585.571,1.351,-0.219,0.196
588.074,1.351,-0.219,0.196
590.576,1.351,-0.219,0.196
593.079,1.351,-0.219,0.196
595.581,1.351,-0.219,0.196
598.083,1.351,-0.219,0.196
600.586,1.351,-0.219,0.196
603.088,1.351,-0.219,0.196
