1910	2080	2469
1908	2120	2467
1928	2100	2459
1951	2067	2471
1974	2043	2485
1987	2037	2479
1990	2044	2471
1993	2030	2465
2007	2025	2473
2039	2031	2474
2066	2008	2479
2089	2006	2478
2101	1979	2471
2104	1922	2464
2098	1882	2457
2083	1820	2471
2078	1816	2481
2095	1840	2475
2127	1851	2467
2148	1871	2474
2133	1840	2465
2106	1824	2471
2091	1816	2486
2084	1835	2481
2083	1874	2476
2078	1874	2460
2093	1834	2469
2115	1810	2473
2124	1772	2478
2103	1819	2490
2073	1877	2485
2059	1916	2471
2075	1916	2472
2099	1813	2469
2089	1742	2488
2053	1735	2499
2019	1791	2477
2004	1853	2474
1988	1850	2465
1981	1872	2489
1985	1937	2486
1998	1979	2478
2007	2006	2468
2003	1971	2468
1999	1957	2472
1991	1973	2483
2000	1979	2468
2003	2006	2476
1992	2002	2463
1953	2004	2458
1926	2031	2463
1909	2038	2454
1920	2084	2473
1913	2113	2468
1925	2094	2455
1952	2077	2462
1975	2036	2465
1987	2033	2467
1993	2037	2476
1993	2024	2462
2010	2041	2467
2043	2034	2465
2071	2018	2458
2096	2009	2479
2105	1962	2469
2107	1933	2464
2095	1879	2458
2083	1831	2452
2082	1834	2471
2101	1827	2464
2138	1861	2462
2149	1869	2478
2133	1843	2458
2105	1843	2465
2089	1807	2477
2089	1836	2470
2084	1865	2480
2081	1866	2459
2097	1844	2466
2119	1804	2469
2123	1780	2469
2105	1815	2497
2072	1871	2485
2067	1925	2472
2080	1898	2476
2103	1807	2467
2087	1740	2499
2052	1735	2503
2022	1813	2481
2005	1855	2486
1991	1857	2469
1989	1884	2488
1988	1927	2495
1999	1988	2480
2004	2006	2476
2004	1971	2468
2002	1974	2474
1994	1969	2488
2006	1992	2467
2011	2014	2488
1992	2006	2472
1960	2018	2460
1930	2020	2468
1910	2038	2464
1918	2083	2490
1915	2113	2476
1935	2099	2460
1959	2067	2474
1982	2032	2474
1993	2044	2475
1998	2034	2479
1999	2038	2475
2014	2045	2482
2048	2029	2472
2078	2032	2471
2099	1990	2481
2110	1963	2471
2109	1920	2465
2097	1855	2459
2083	1837	2466
2077	1819	2474
2103	1839	2467
2141	1867	2471
2148	1852	2471
2134	1852	2469
2104	1831	2471
2090	1809	2480
2090	1854	2476
2082	1856	2471
2078	1875	2461
2096	1845	2474
2119	1814	2469
2124	1811	2478
2104	1825	2487
2074	1888	2480
2069	1924	2478
2081	1895	2476
2105	1824	2471
2082	1739	2489
2048	1757	2492
2024	1825	2478
2010	1855	2476
1993	1880	2471
1983	1892	2486
1985	1945	2479
1999	2004	2474
2008	1994	2463
2008	1978	2465
2000	1953	2480
1987	1966	2477
2005	2008	2465
2008	2006	2467
1992	2002	2458
1957	2011	2463
1925	2016	2460
1912	2060	2457
1913	2090	2472
1914	2101	2458
1938	2089	2460
1961	2046	2471
1981	2047	2474
1993	2048	2472
1995	2026	2459
2001	2025	2470
2019	2015	2478
2049	2031	2468
2079	2025	2471
2100	1997	2465
2108	1967	2463
2107	1895	2460
2100	1857	2454
2079	1836	2473
2077	1818	2470
2107	1855	2457
2141	1846	2464
2151	1845	2471
2131	1836	2475
2098	1813	2470
2091	1829	2473
2088	1836	2465
2083	1849	2467
2082	1860	2463
2098	1823	2474
2119	1805	2463
2121	1794	2473
