Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,868;1,18;0,06
11,719;0,567;0,791;0,236
15,625;0,809;0,704;0,21
19,531;0,945;0,752;0,285
23,438;2,386;2,086;0,833
27,344;1,297;0,935;0,477
31,25;0,326;0,332;0,285
35,156;1,157;0,98;0,3
39,063;0,278;0,186;0,134
42,969;0,351;0,421;0,027
46,875;0,159;0,129;0,04
50,781;0,267;0,399;0,319
54,688;0,373;0,439;0,072
58,594;0,066;0,187;0,062
62,5;0,488;0,336;0,168
66,406;0,219;0,2;0,248
70,313;0,206;0,254;0,099
74,219;0,039;0,253;0,017
78,125;0,272;0,477;0,173
82,031;0,056;0,207;0,225
85,938;0,081;0,146;0,214
89,844;0,135;0,196;0,29
93,75;0,409;0,399;0,766
97,656;0,213;0,152;0,312
101,563;0,072;0,133;0,143
105,469;0,11;0,17;0,215
109,375;0,152;0,182;0,215
113,281;0,074;0,223;0,092
117,188;0,059;0,183;0,132
121,094;0,115;0,215;0,165
125;0,128;0,271;0,149
128,906;0,029;0,221;0,042
132,813;0,088;0,069;0,096
136,719;0,105;0,102;0,179
140,625;0,084;0,085;0,042
144,531;0,066;0,195;0,066
148,438;0,148;0,191;0,187
152,344;0,083;0,372;0,246
156,25;0,031;0,114;0,101
160,156;0,064;0,35;0,033
164,063;0,007;0,222;0,01
167,969;0,012;0,344;0,08
171,875;0,091;0,061;0,064
175,781;0,09;0,191;0,18
179,688;0,105;0,136;0,09
183,594;0,101;0,146;0,106
187,5;0,045;0,347;0,116
191,406;0,018;0,461;0,039
195,313;0,075;0,044;0,034
199,219;0,06;0,142;0,027
203,125;0,044;0,052;0,02
207,031;0,011;0,084;0,037
210,938;0,061;0,02;0,021
214,844;0,055;0,037;0,044
218,75;0,034;0,031;0,074
222,656;0,061;0,027;0,005
226,563;0,027;0,012;0,019
230,469;0,066;0,039;0,026
234,375;0,034;0,02;0,043
238,281;0,04;0,024;0,029
242,188;0,05;0,056;0,069
246,094;0,05;0,07;0,083
250;0,095;0,036;0,108
253,906;0,022;0,033;0,049
257,813;0,039;0,01;0,049
261,719;0,043;0,026;0,042
265,625;0,043;0,081;0,043
269,531;0,008;0,039;0,021
273,438;0,014;0,085;0,002
277,344;0,014;0,009;0,012
281,25;0,016;0,013;0,007
285,156;0,02;0,018;0,025
289,063;0,016;0,033;0,015
292,969;0,008;0,032;0,026
296,875;0,03;0,033;0,049
300,781;0,051;0,095;0,046
304,688;0,01;0,005;0,009
308,594;0,024;0,033;0,019
312,5;0,043;0,099;0,042
316,406;0,041;0,062;0,039
320,313;0,031;0,063;0,038
324,219;0,052;0,066;0,035
328,125;0,061;0,138;0,029
332,031;0,048;0,125;0,021
335,938;0,058;0,085;0,006
339,844;0,038;0,126;0,024
343,75;0,012;0,038;0,017
347,656;0,048;0,083;0,017
351,563;0,031;0,134;0,014
355,469;0,027;0,009;0,027
359,375;0,016;0,075;0,035
