Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;1,216;0,875;0,552
11,719;0,766;0,791;0,405
15,625;0,609;0,716;0,327
19,531;1,015;0,742;0,34
23,438;2,827;2,113;0,756
27,344;1,522;1,048;0,336
31,25;0,663;0,56;0,26
35,156;0,616;0,657;0,215
39,063;0,659;0,646;0,111
42,969;0,595;0,653;0,067
46,875;0,193;0,302;0,159
50,781;0,304;0,369;0,233
54,688;0,282;0,35;0,395
58,594;0,122;0,1;0,111
62,5;0,116;0,202;0,338
66,406;0,116;0,236;0,123
70,313;0,306;0,205;0,061
74,219;0,132;0,464;0,216
78,125;0,072;0,293;0,318
82,031;0,058;0,291;0,28
85,938;0,045;0,08;0,091
89,844;0,202;0,169;0,01
93,75;0,072;0,018;0,096
97,656;0,022;0,14;0,112
101,563;0,138;0,166;0,082
105,469;0,091;0,088;0,142
109,375;0,035;0,331;0,157
113,281;0,068;0,127;0,04
117,188;0,038;0,336;0,146
121,094;0,08;0,143;0,048
125;0,233;0,507;0,109
128,906;0,119;0,281;0,206
132,813;0,064;0,356;0,183
136,719;0,147;0,319;0,083
140,625;0,007;0,182;0,096
144,531;0,059;0,066;0,038
148,438;0,101;0,4;0,234
152,344;0,052;0,072;0,099
156,25;0,045;0,083;0,045
160,156;0,172;0,26;0,337
164,063;0,078;0,153;0,095
167,969;0,043;0,025;0,098
171,875;0,014;0,177;0,109
175,781;0,087;0,404;0,131
179,688;0,022;0,139;0,027
183,594;0,003;0,206;0,071
187,5;0,024;0,195;0,021
191,406;0,033;0,184;0,136
195,313;0,074;0,11;0,085
199,219;0,064;0,308;0,055
203,125;0,063;0,026;0,015
207,031;0,009;0,067;0,049
210,938;0,054;0,038;0,031
214,844;0,04;0,008;0,024
218,75;0,031;0,056;0,002
222,656;0,01;0,071;0,036
226,563;0,074;0,096;0,019
230,469;0,052;0,016;0,006
234,375;0,038;0,036;0,022
238,281;0,017;0,048;0,007
242,188;0,016;0,029;0,008
246,094;0,051;0,038;0,048
250;0,081;0,052;0,099
253,906;0,013;0,052;0,087
257,813;0,031;0,02;0,042
261,719;0,03;0,039;0,046
265,625;0,021;0,046;0,027
269,531;0,036;0,056;0,02
273,438;0,028;0,066;0,058
277,344;0,014;0,054;0,024
281,25;0,042;0,057;0,023
285,156;0,018;0,02;0,029
289,063;0,002;0,014;0,039
292,969;0,023;0,06;0,022
296,875;0,027;0,029;0,035
300,781;0,043;0,06;0,045
304,688;0,017;0,03;0,013
308,594;0,008;0,026;0,03
312,5;0,027;0,021;0,064
316,406;0,035;0,043;0,058
320,313;0,01;0,022;0,015
324,219;0,039;0,068;0,043
328,125;0,047;0,074;0,032
332,031;0,042;0,045;0,013
335,938;0,045;0,128;0,02
339,844;0,024;0,032;0,023
343,75;0,01;0,032;0,01
347,656;0,026;0,081;0,011
351,563;0,065;0,131;0,017
355,469;0,033;0,03;0,011
359,375;0,014;0,046;0,013
