Dátum;RMS X [mm/s];RMS Y [mm/s];RMS Z [mm/s]
24.12.2022 01:26:39;2,584;2,219;1,197
24.12.2022 02:26:41;2,677;2,322;1,209
24.12.2022 03:26:43;2,661;2,322;1,177
24.12.2022 04:26:42;2,606;2,273;1,145
24.12.2022 05:26:40;2,556;2,24;1,241
24.12.2022 06:26:41;2,714;2,296;1,186
24.12.2022 07:26:43;2,564;2,24;1,239
24.12.2022 08:26:39;2,544;2,283;1,191
24.12.2022 09:26:40;2,614;2,275;1,181
24.12.2022 10:26:39;2,612;2,298;1,293
24.12.2022 11:26:42;2,502;2,265;1,201
24.12.2022 12:26:41;2,647;2,281;1,206
24.12.2022 13:26:41;2,579;2,274;1,23
24.12.2022 14:26:43;2,602;2,281;1,281
24.12.2022 15:26:43;2,55;2,245;1,203
24.12.2022 16:26:41;2,605;2,417;1,22
24.12.2022 17:26:41;2,596;2,407;1,242
24.12.2022 18:26:45;2,656;2,255;1,223
24.12.2022 19:26:42;2,577;2,263;1,178
24.12.2022 20:26:39;2,644;2,367;1,286
24.12.2022 21:26:40;2,671;2,416;1,278
24.12.2022 22:26:40;2,578;2,304;1,206
24.12.2022 23:26:40;2,602;2,352;1,205
25.12.2022 00:26:40;2,624;2,374;1,229
25.12.2022 01:26:40;2,668;2,318;1,335
25.12.2022 02:26:43;2,779;2,269;1,22
25.12.2022 03:26:42;2,64;2,265;1,234
25.12.2022 04:26:44;2,612;2,317;1,194
25.12.2022 05:26:41;2,63;2,245;1,192
25.12.2022 06:26:42;2,625;2,273;1,185
25.12.2022 07:26:39;2,631;2,304;1,231
25.12.2022 08:26:41;2,66;2,395;1,255
25.12.2022 09:26:43;2,675;2,331;1,164
25.12.2022 10:26:40;2,628;2,323;1,244
25.12.2022 11:26:41;2,468;2,239;1,295
25.12.2022 12:26:44;2,589;2,359;1,235
25.12.2022 13:26:42;2,624;2,344;1,253
25.12.2022 14:26:44;2,526;2,305;1,279
25.12.2022 15:26:44;2,594;2,308;1,325
25.12.2022 16:26:44;2,613;2,298;1,198
25.12.2022 17:26:41;2,565;2,429;1,237
25.12.2022 18:26:39;2,592;2,359;1,179
25.12.2022 19:26:50;2,58;2,231;1,216
25.12.2022 20:26:40;2,551;2,53;1,243
25.12.2022 21:26:42;2,629;2,294;1,204
25.12.2022 22:26:40;2,59;2,285;1,227
25.12.2022 23:26:42;2,579;2,277;1,251
26.12.2022 00:26:40;2,64;2,255;1,265
26.12.2022 01:26:42;2,523;2,423;1,301
26.12.2022 02:26:39;2,577;2,186;1,226
26.12.2022 03:26:42;2,599;2,354;1,208
26.12.2022 04:26:41;2,549;2,336;1,227
26.12.2022 05:26:39;2,583;2,223;1,224
26.12.2022 06:26:41;2,594;2,468;1,157
26.12.2022 07:26:40;2,571;2,275;1,222
26.12.2022 08:26:38;2,67;2,3;1,261
26.12.2022 09:26:40;2,635;2,271;1,24
26.12.2022 10:26:40;2,688;2,351;1,235
26.12.2022 11:26:40;2,61;2,28;1,215
26.12.2022 12:26:39;2,522;2,228;1,297
26.12.2022 13:26:43;2,609;2,472;1,29
26.12.2022 14:26:39;2,49;2,22;1,222
26.12.2022 15:26:39;2,594;2,424;1,214
26.12.2022 16:26:42;2,652;2,364;1,241
26.12.2022 17:26:39;2,546;2,27;1,234
26.12.2022 18:26:44;2,612;2,352;1,277
26.12.2022 19:26:44;2,63;2,327;1,287
26.12.2022 20:26:40;2,592;2,311;1,289
26.12.2022 21:26:41;2,668;2,315;1,223
26.12.2022 22:26:40;2,544;2,299;1,206
26.12.2022 23:26:41;2,643;2,303;1,257
27.12.2022 00:26:41;2,573;2,242;1,167
27.12.2022 01:26:41;2,562;2,395;1,239
27.12.2022 02:26:38;2,532;2,271;1,193
27.12.2022 03:26:40;2,613;2,318;1,294
27.12.2022 04:26:40;2,548;2,279;1,243
27.12.2022 05:26:40;2,642;2,287;1,209
27.12.2022 06:26:39;2,549;2,245;1,219
27.12.2022 07:26:42;2,587;2,235;1,258
27.12.2022 08:26:41;2,582;2,395;1,311
27.12.2022 09:26:42;2,649;2,254;1,26
27.12.2022 10:26:42;2,551;2,294;1,281
27.12.2022 11:26:42;2,611;2,307;1,259
27.12.2022 12:26:42;2,663;2,374;1,238
27.12.2022 13:26:44;2,582;2,221;1,273
27.12.2022 14:26:38;2,599;2,224;1,222
27.12.2022 15:26:43;2,604;2,257;1,245
27.12.2022 16:26:40;2,6;2,304;1,199
27.12.2022 17:26:39;2,704;2,32;1,283
27.12.2022 18:26:42;2,603;2,229;1,202
27.12.2022 19:26:41;2,627;2,295;1,139
27.12.2022 20:26:40;2,736;2,289;1,261
27.12.2022 21:26:40;2,629;2,239;1,243
27.12.2022 22:26:40;2,727;2,329;1,238
27.12.2022 23:26:39;2,747;2,314;1,286
28.12.2022 00:26:43;2,641;2,265;1,227
28.12.2022 01:26:38;2,71;2,328;1,257
28.12.2022 02:26:44;2,711;2,237;1,296
28.12.2022 03:26:40;2,7;2,272;1,23
28.12.2022 04:26:39;2,744;2,259;1,201
28.12.2022 05:26:43;2,733;2,305;1,23
28.12.2022 06:26:41;2,607;2,322;1,181
28.12.2022 07:26:42;2,627;2,25;1,23
28.12.2022 08:26:39;2,731;2,266;1,205
28.12.2022 09:26:40;2,73;2,355;1,23
28.12.2022 10:26:41;2,806;2,358;1,286
28.12.2022 11:26:40;2,634;2,275;1,208
28.12.2022 12:26:41;2,696;2,345;1,18
28.12.2022 13:26:42;2,711;2,344;1,243
28.12.2022 14:26:40;2,687;2,307;1,243
28.12.2022 15:26:41;2,709;2,425;1,177
28.12.2022 16:26:44;2,693;2,373;1,172
28.12.2022 17:26:39;2,726;2,282;1,246
28.12.2022 18:26:42;2,71;2,304;1,294
28.12.2022 19:26:42;2,64;2,269;1,234
28.12.2022 20:26:39;2,656;2,259;1,229
28.12.2022 21:26:42;2,739;2,276;1,199
28.12.2022 22:26:39;2,707;2,319;1,191
28.12.2022 23:26:39;2,705;2,263;1,209
29.12.2022 00:26:40;2,742;2,331;1,25
29.12.2022 01:26:41;2,608;2,309;1,258
29.12.2022 02:26:41;2,725;2,318;1,208
29.12.2022 03:26:39;2,7;2,282;1,198
29.12.2022 04:26:41;2,682;2,27;1,255
29.12.2022 05:26:39;2,657;2,254;1,165
29.12.2022 06:26:43;2,657;2,283;1,253
29.12.2022 07:26:40;2,684;2,315;1,231
29.12.2022 08:26:42;2,739;2,286;1,16
29.12.2022 09:26:40;2,657;2,391;1,294
29.12.2022 10:26:42;2,681;2,349;1,279
29.12.2022 11:26:44;2,702;2,272;1,158
29.12.2022 12:26:43;2,749;2,287;1,241
29.12.2022 13:26:43;2,661;2,26;1,25
29.12.2022 14:26:42;2,739;2,32;1,256
29.12.2022 15:26:45;2,669;2,462;1,279
29.12.2022 16:26:41;2,748;2,271;1,181
29.12.2022 17:26:42;2,822;2,33;1,209
29.12.2022 18:26:40;2,703;2,231;1,186
29.12.2022 19:26:44;2,716;2,272;1,159
29.12.2022 20:26:38;2,729;2,346;1,191
29.12.2022 21:26:40;2,785;2,255;1,214
29.12.2022 22:26:40;2,632;2,235;1,246
29.12.2022 23:26:40;2,633;2,322;1,167
30.12.2022 00:26:41;2,692;2,233;1,221
30.12.2022 01:26:41;2,722;2,278;1,24
30.12.2022 02:26:44;2,675;2,278;1,201
30.12.2022 03:26:40;2,747;2,281;1,212
30.12.2022 04:26:42;2,685;2,27;1,17
30.12.2022 05:26:39;2,738;2,275;1,205
30.12.2022 06:26:43;2,637;2,259;1,213
30.12.2022 07:26:42;2,55;2,361;1,199
30.12.2022 08:26:40;2,756;2,334;1,231
30.12.2022 09:26:40;2,668;2,232;1,223
30.12.2022 10:26:40;2,728;2,339;1,227
30.12.2022 11:26:43;2,701;2,231;1,219
30.12.2022 12:26:43;2,769;2,391;1,252
30.12.2022 13:26:41;2,673;2,353;1,156
30.12.2022 14:26:41;2,703;2,296;1,214
30.12.2022 15:26:43;2,636;2,317;1,243
30.12.2022 16:26:45;2,699;2,359;1,21
30.12.2022 17:26:43;2,715;2,383;1,245
30.12.2022 18:26:43;2,648;2,251;1,186
30.12.2022 19:26:41;2,676;2,388;1,161
30.12.2022 20:26:40;2,677;2,256;1,19
30.12.2022 21:26:39;2,607;2,404;1,238
30.12.2022 22:26:43;2,607;2,284;1,268
30.12.2022 23:26:42;2,754;2,367;1,174
31.12.2022 00:26:38;2,636;2,338;1,158
31.12.2022 01:26:39;2,615;2,477;1,206
31.12.2022 02:26:39;2,622;2,329;1,184
31.12.2022 03:26:39;2,628;2,232;1,206
31.12.2022 04:26:41;2,704;2,366;1,192
31.12.2022 05:26:39;2,641;2,288;1,271
31.12.2022 06:26:41;2,812;2,383;1,244
31.12.2022 07:26:41;2,668;2,434;1,308
31.12.2022 08:26:39;2,649;2,247;1,197
31.12.2022 09:26:43;2,72;2,39;1,211
31.12.2022 10:26:41;2,705;2,298;1,23
31.12.2022 11:26:44;2,7;2,369;1,192
31.12.2022 12:26:40;2,69;2,367;1,222
31.12.2022 13:26:43;2,689;2,519;1,208
31.12.2022 14:26:43;2,63;2,279;1,272
31.12.2022 15:26:39;2,69;2,401;1,192
31.12.2022 16:26:40;2,68;2,39;1,265
31.12.2022 17:26:41;2,59;2,293;1,188
31.12.2022 18:26:43;2,671;2,36;1,167
31.12.2022 19:26:44;2,61;2,271;1,2
31.12.2022 20:26:43;2,682;2,346;1,266
31.12.2022 21:26:40;2,637;2,456;1,321
31.12.2022 22:26:39;2,672;2,532;1,284
31.12.2022 23:26:40;2,653;2,488;1,259
01.01.2023 00:26:40;2,604;2,334;1,209
01.01.2023 01:26:42;2,664;2,342;1,181
01.01.2023 02:26:41;2,692;2,297;1,208
01.01.2023 03:26:39;2,66;2,354;1,201
01.01.2023 04:26:42;2,711;2,339;1,211
01.01.2023 05:26:39;2,659;2,489;1,251
01.01.2023 06:26:43;2,611;2,339;1,238
01.01.2023 07:26:42;2,687;2,284;1,119
01.01.2023 08:26:41;2,656;2,321;1,225
01.01.2023 09:26:43;2,66;2,331;1,257
01.01.2023 10:26:43;2,682;2,288;1,247
01.01.2023 11:26:41;2,678;2,34;1,285
01.01.2023 12:26:43;2,591;2,262;1,16
01.01.2023 13:26:42;2,752;2,292;1,207
01.01.2023 14:26:42;2,661;2,27;1,27
01.01.2023 15:26:43;2,655;2,422;1,242
01.01.2023 16:26:43;2,713;2,29;1,272
01.01.2023 17:26:43;2,723;2,307;1,175
01.01.2023 18:26:43;2,694;2,445;1,228
01.01.2023 19:26:41;2,666;2,442;1,225
01.01.2023 20:26:41;2,639;2,236;1,267
01.01.2023 21:26:38;2,721;2,278;1,297
