x y z t
-0.085 -0.065 10.09 5
-0.505 -0.39 9.496 5
-0.505 -0.39 9.496 5
-0.505 -0.39 9.496 5
-0.505 -0.39 9.496 6
-0.43 -0.151 9.333 4
-0.43 -0.151 9.333 5
-0.43 -0.151 9.333 5
-0.43 -0.151 9.333 5
0.632 0.26 9.391 5
0.632 0.26 9.391 6
0.632 0.26 9.391 5
0.211 0.547 9.65 4
0.211 0.547 9.65 5
0.211 0.547 9.65 5
0.211 0.547 9.65 5
0.374 0.404 10.09 6
0.374 0.404 10.09 5
0.374 0.404 10.09 4
0.374 0.404 10.09 5
-0.123 0.068 9.592 5
-0.123 0.068 9.592 5
-0.123 0.068 9.592 6
-0.123 0.068 9.592 5
0.364 0.183 9.238 4
0.364 0.183 9.238 5
0.364 0.183 9.238 5
0.364 0.183 9.238 5
0.144 0.135 9.563 5
0.144 0.135 9.563 6
0.144 0.135 9.563 4
0.144 0.135 9.563 5
-0.047 0.087 9.841 5
-0.047 0.087 9.841 5
-0.047 0.087 9.841 5
-0.047 0.087 9.841 6
-0.181 -0.046 9.793 5
-0.181 -0.046 9.793 4
-0.181 -0.046 9.793 5
-0.181 -0.046 9.793 5
0.01 0.183 9.793 5
0.01 0.183 9.793 6
0.01 0.183 9.793 5
0.01 0.183 9.793 4
0.259 0.135 9.468 5
0.259 0.135 9.468 5
0.259 0.135 9.468 5
0.259 0.135 9.468 6
-0.037 0.116 9.458 5
-0.037 0.116 9.458 4
-0.037 0.116 9.458 5
-0.037 0.116 9.458 5
-0.066 -0.036 10.004 5
-0.066 -0.036 10.004 5
-0.066 -0.036 10.004 6
-0.066 -0.036 10.004 4
0.287 0.155 9.573 5
0.287 0.155 9.573 6
0.287 0.155 9.573 4
0.058 -0.036 9.132 5
0.058 -0.036 9.132 6
0.058 -0.036 9.132 5
0.058 -0.036 9.132 4
-0.143 -0.036 10.071 5
-0.143 -0.036 10.071 5
-0.143 -0.036 10.071 5
-0.143 -0.036 10.071 6
-0.008 -0.065 10.042 5
-0.008 -0.065 10.042 4
-0.008 -0.065 10.042 5
-0.008 -0.065 10.042 5
0.067 -0.094 9.046 5
0.067 -0.094 9.046 6
0.067 -0.094 9.046 5
0.067 -0.094 9.046 4
0.125 0.059 9.314 5
0.125 0.059 9.314 5
0.125 0.059 9.314 5
0.125 0.059 9.314 5
-0.143 0.461 9.889 6
-0.143 0.461 9.889 4
-0.143 0.461 9.889 5
-0.143 0.461 9.889 5
-0.171 0.116 10.09 5
-0.171 0.116 10.09 5
-0.171 0.116 10.09 6
-0.171 0.116 10.09 5
0.125 0.212 9.544 4
0.125 0.212 9.544 5
0.125 0.212 9.544 5
0.125 0.212 9.544 5
0.163 0.174 9.084 6
0.163 0.174 9.084 5
0.163 0.174 9.084 4
0.163 0.174 9.084 5
0.163 0.02 9.994 5
0.163 0.02 9.994 5
0.163 0.02 9.994 6
0.163 0.02 9.994 5
-0.056 0.202 9.468 4
-0.056 0.202 9.468 5
-0.056 0.202 9.468 5
-0.056 0.202 9.468 5
-0.028 -0.084 9.602 5
-0.028 -0.084 9.602 6
-0.028 -0.084 9.602 4
-0.028 -0.084 9.602 5
-0.238 0.03 9.621 5
-0.238 0.03 9.621 5
-0.238 0.03 9.621 5
0.412 0.231 9.669 6
0.412 0.231 9.669 5
0.412 0.231 9.669 4
0.412 0.231 9.669 5
0.23 0.289 9.592 5
0.23 0.289 9.592 5
0.23 0.289 9.592 6
0.23 0.289 9.592 5
-0.008 0.001 9.372 4
-0.008 0.001 9.372 5
-0.008 0.001 9.372 5
-0.008 0.001 9.372 5
-0.162 -0.189 10.033 6
-0.162 -0.189 10.033 5
-0.162 -0.189 10.033 4
-0.162 -0.189 10.033 5
0.144 0.308 9.458 5
0.144 0.308 9.458 5
0.144 0.308 9.458 5
0.144 0.308 9.458 6
0.096 0.02 9.602 4
0.096 0.02 9.602 5
0.096 0.02 9.602 5
0.096 0.02 9.602 5
0.048 0.011 9.65 5
0.048 0.011 9.65 6
0.048 0.011 9.65 5
0.048 0.011 9.65 5
0.192 0.02 10.071 4
0.192 0.02 10.071 5
0.192 0.02 10.071 5
0.192 0.02 10.071 6
0.153 0.375 8.711 5
0.153 0.375 8.711 4
0.153 0.375 8.711 5
0.153 0.375 8.711 5
0.029 0.078 9.343 5
0.029 0.078 9.343 6
0.029 0.078 9.343 5
0.029 0.078 9.343 4
-0.095 -0.036 10.387 5
-0.095 -0.036 10.387 5
-0.095 -0.036 10.387 5
-0.095 -0.036 10.387 5
0.22 0.164 9.63 6
0.22 0.164 9.63 4
0.22 0.164 9.63 5
-0.056 0.001 9.286 5
-0.056 0.001 9.286 5
-0.056 0.001 9.286 5
-0.056 0.001 9.286 6
0.402 0.298 9.669 5
0.402 0.298 9.669 4
0.402 0.298 9.669 5
0.402 0.298 9.669 5
0.144 0.078 9.659 5
0.144 0.078 9.659 6
0.144 0.078 9.659 5
0.144 0.078 9.659 4
-0.075 0.087 9.63 5
-0.075 0.087 9.63 5
-0.075 0.087 9.63 5
-0.075 0.087 9.63 6
-0.114 -0.036 9.755 5
-0.114 -0.036 9.755 4
-0.114 -0.036 9.755 5
-0.114 -0.036 9.755 5
0.393 0.193 9.333 6
0.393 0.193 9.333 4
0.393 0.193 9.333 6
0.393 0.193 9.333 4
0.096 0.126 9.429 5
0.096 0.126 9.429 5
0.096 0.126 9.429 5
0.096 0.126 9.429 5
-0.056 0.068 9.333 6
-0.056 0.068 9.333 5
-0.056 0.068 9.333 4
-0.056 0.068 9.333 5
-0.018 -0.132 10.234 5
-0.018 -0.132 10.234 5
-0.018 -0.132 10.234 6
-0.018 -0.132 10.234 5
0.163 0.145 9.199 4
0.163 0.145 9.199 5
0.163 0.145 9.199 5
0.163 0.145 9.199 5
0.489 0.193 9.286 6
0.489 0.193 9.286 5
0.489 0.193 9.286 4
0.489 0.193 9.286 5
-0.114 0.02 9.755 5
-0.114 0.02 9.755 5
-0.114 0.02 9.755 5
-0.114 0.02 9.755 6
-0.018 -0.017 9.946 4
-0.018 -0.017 9.946 5
-0.018 -0.017 9.946 5
0.01 0.011 9.362 5
0.01 0.011 9.362 5
0.01 0.011 9.362 6
0.01 0.011 9.362 5
0.201 0.078 9.228 4
0.201 0.078 9.228 5
0.201 0.078 9.228 5
0.201 0.078 9.228 5
0.0 -0.017 9.975 6
0.0 -0.017 9.975 5
0.0 -0.017 9.975 4
0.0 -0.017 9.975 5
0.383 0.097 9.899 5
0.383 0.097 9.899 5
0.383 0.097 9.899 6
0.383 0.097 9.899 5
0.096 0.126 9.104 4
0.096 0.126 9.104 5
0.096 0.126 9.104 5
0.096 0.126 9.104 5
0.029 0.222 9.228 5
0.029 0.222 9.228 6
0.029 0.222 9.228 4
0.029 0.222 9.228 5
0.182 0.03 9.582 5
0.182 0.03 9.582 5
0.182 0.03 9.582 5
0.182 0.03 9.582 6
-0.066 0.174 9.889 5
-0.066 0.174 9.889 4
-0.066 0.174 9.889 5
-0.066 0.174 9.889 5
0.268 -0.026 9.554 5
0.268 -0.026 9.554 6
0.268 -0.026 9.554 5
0.268 -0.026 9.554 4
0.077 0.078 9.487 5
0.077 0.078 9.487 5
0.077 0.078 9.487 5
0.077 0.078 9.487 6
0.297 0.097 9.592 5
0.297 0.097 9.592 4
0.297 0.097 9.592 5
0.297 0.097 9.592 5
0.077 0.049 9.266 5
0.077 0.049 9.266 5
0.077 0.049 9.266 6
-0.181 0.011 9.803 4
-0.181 0.011 9.803 5
-0.181 0.011 9.803 6
-0.181 0.011 9.803 4
0.048 0.04 9.851 5
0.048 0.04 9.851 6
0.048 0.04 9.851 5
0.048 0.04 9.851 4
0.106 0.231 8.95 5
0.106 0.231 8.95 5
0.106 0.231 8.95 5
0.106 0.231 8.95 6
0.364 0.145 9.621 5
0.364 0.145 9.621 4
0.364 0.145 9.621 5
0.364 0.145 9.621 5
-0.018 0.059 9.669 5
-0.018 0.059 9.669 6
-0.018 0.059 9.669 5
-0.018 0.059 9.669 4
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.173 0.365 9.132 6
0.173 0.365 9.132 5
0.173 0.365 9.132 4
0.173 0.365 9.132 5
0.106 0.011 9.228 5
0.106 0.011 9.228 5
0.106 0.011 9.228 6
0.106 0.011 9.228 5
0.115 0.212 9.927 4
0.115 0.212 9.927 5
0.115 0.212 9.927 5
0.115 0.212 9.927 5
0.115 -0.065 9.659 6
0.115 -0.065 9.659 5
0.115 -0.065 9.659 4
0.115 -0.065 9.659 5
0.0 0.193 9.065 5
0.0 0.193 9.065 5
0.0 0.193 9.065 6
0.0 0.193 9.065 5
0.096 0.174 9.86 4
0.096 0.174 9.86 5
0.096 0.174 9.86 5
0.096 0.174 9.86 5
0.182 0.049 9.841 5
0.182 0.049 9.841 6
0.182 0.049 9.841 5
0.307 0.183 9.487 4
0.307 0.183 9.487 5
0.307 0.183 9.487 5
