x y z t
0.086 0.097 9.736 0
0.086 0.097 9.736 4
-0.056 0.155 9.726 5
-0.056 0.155 9.726 5
-0.056 0.155 9.726 5
-0.056 0.155 9.726 5
-0.286 0.049 8.883 5
-0.286 0.049 8.883 5
-0.286 0.049 8.883 5
-0.286 0.049 8.883 5
0.345 -0.094 9.851 5
0.345 -0.094 9.851 5
0.345 -0.094 9.851 5
0.345 -0.094 9.851 5
0.24 -0.007 10.358 5
0.24 -0.007 10.358 5
0.24 -0.007 10.358 5
0.24 -0.007 10.358 5
-0.152 -0.026 9.219 5
-0.152 -0.026 9.219 5
-0.152 -0.026 9.219 5
-0.152 -0.026 9.219 5
0.173 0.174 9.726 5
0.173 0.174 9.726 5
0.173 0.174 9.726 5
0.173 0.174 9.726 5
0.048 -0.065 9.295 5
0.048 -0.065 9.295 5
0.048 -0.065 9.295 5
0.048 -0.065 9.295 5
0.038 0.164 9.343 5
0.038 0.164 9.343 5
0.038 0.164 9.343 5
0.038 0.164 9.343 5
0.077 -0.055 10.004 5
0.077 -0.055 10.004 5
0.077 -0.055 10.004 5
0.077 -0.055 10.004 5
-0.181 0.03 8.883 5
-0.181 0.03 8.883 5
-0.181 0.03 8.883 5
-0.181 0.03 8.883 5
0.01 -0.161 10.109 5
0.01 -0.161 10.109 5
0.01 -0.161 10.109 5
0.01 -0.161 10.109 5
-0.085 0.222 9.678 5
-0.085 0.222 9.678 5
-0.085 0.222 9.678 5
-0.085 0.222 9.678 5
0.335 -0.017 10.004 5
0.335 -0.017 10.004 5
0.335 -0.017 10.004 5
0.0 0.087 9.219 5
0.0 0.087 9.219 5
0.0 0.087 9.219 5
0.0 0.087 9.219 5
0.125 -0.007 9.784 5
0.125 -0.007 9.784 5
0.125 -0.007 9.784 5
0.125 -0.007 9.784 5
0.038 0.126 9.755 5
0.038 0.126 9.755 5
0.038 0.126 9.755 5
0.038 0.126 9.755 5
-0.114 -0.132 9.094 5
-0.114 -0.132 9.094 5
-0.114 -0.132 9.094 5
-0.114 -0.132 9.094 5
0.058 -0.007 9.745 5
0.058 -0.007 9.745 5
0.058 -0.007 9.745 5
0.058 -0.007 9.745 5
-0.028 -0.026 9.822 5
-0.028 -0.026 9.822 5
-0.028 -0.026 9.822 5
-0.028 -0.026 9.822 5
-0.018 0.04 9.927 5
-0.018 0.04 9.927 5
-0.018 0.04 9.927 5
-0.018 0.04 9.927 5
0.46 0.011 9.525 5
0.46 0.011 9.525 5
0.46 0.011 9.525 5
0.46 0.011 9.525 5
-0.085 0.097 9.123 5
-0.085 0.097 9.123 5
-0.085 0.097 9.123 5
-0.085 0.097 9.123 5
-0.018 -0.026 9.841 5
-0.018 -0.026 9.841 5
-0.018 -0.026 9.841 5
-0.018 -0.026 9.841 5
-0.114 0.068 9.075 5
-0.114 0.068 9.075 5
-0.114 0.068 9.075 5
-0.114 0.068 9.075 5
0.182 -0.065 9.87 5
0.182 -0.065 9.87 5
0.182 -0.065 9.87 5
0.182 -0.065 9.87 5
-0.19 0.02 10.013 5
-0.19 0.02 10.013 5
-0.19 0.02 10.013 5
0.163 0.078 9.745 5
0.163 0.078 9.745 5
0.163 0.078 9.745 5
0.163 0.078 9.745 5
0.058 0.011 9.247 5
0.058 0.011 9.247 5
0.058 0.011 9.247 5
0.058 0.011 9.247 5
-0.028 -0.074 9.276 5
-0.028 -0.074 9.276 5
-0.028 -0.074 9.276 5
-0.028 -0.074 9.276 5
0.0 0.145 9.324 5
0.0 0.145 9.324 5
0.0 0.145 9.324 5
0.0 0.145 9.324 5
0.048 0.02 9.889 5
0.048 0.02 9.889 5
0.048 0.02 9.889 5
0.048 0.02 9.889 5
-0.19 -0.046 9.477 5
-0.19 -0.046 9.477 5
-0.19 -0.046 9.477 5
-0.19 -0.046 9.477 5
-0.018 0.145 9.535 5
-0.018 0.145 9.535 5
-0.018 0.145 9.535 5
-0.018 0.145 9.535 5
0.0 0.001 10.464 5
0.0 0.001 10.464 5
0.0 0.001 10.464 5
0.0 0.001 10.464 5
0.01 0.097 9.276 5
0.01 0.097 9.276 5
0.01 0.097 9.276 5
0.01 0.097 9.276 5
-0.008 -0.103 9.161 5
-0.008 -0.103 9.161 5
-0.008 -0.103 9.161 5
-0.008 -0.103 9.161 5
0.067 -0.026 9.458 5
0.067 -0.026 9.458 5
0.067 -0.026 9.458 5
0.067 -0.026 9.458 5
-0.181 0.078 9.477 5
-0.181 0.078 9.477 5
-0.181 0.078 9.477 5
-0.181 0.078 9.477 5
-0.008 0.145 9.956 5
-0.008 0.145 9.956 5
-0.008 0.145 9.956 5
-0.037 -0.084 9.314 5
-0.037 -0.084 9.314 5
-0.037 -0.084 9.314 5
-0.037 -0.084 9.314 5
-0.2 0.02 9.745 5
-0.2 0.02 9.745 5
-0.2 0.02 9.745 5
-0.2 0.02 9.745 5
0.086 0.222 10.167 5
0.086 0.222 10.167 5
0.086 0.222 10.167 5
0.086 0.222 10.167 5
-0.085 0.068 8.97 5
-0.085 0.068 8.97 5
-0.085 0.068 8.97 5
-0.085 0.068 8.97 5
0.029 -0.161 10.31 5
0.029 -0.161 10.31 5
0.029 -0.161 10.31 5
0.029 -0.161 10.31 5
-0.085 0.068 8.558 5
-0.085 0.068 8.558 5
-0.085 0.068 8.558 5
-0.085 0.068 8.558 5
0.153 0.145 9.966 5
0.153 0.145 9.966 5
0.153 0.145 9.966 5
0.153 0.145 9.966 5
-0.372 0.02 9.18 5
-0.372 0.02 9.18 5
-0.372 0.02 9.18 5
-0.372 0.02 9.18 5
-0.162 -0.046 10.272 5
-0.162 -0.046 10.272 5
-0.162 -0.046 10.272 5
-0.162 -0.046 10.272 5
0.058 0.116 9.64 5
0.058 0.116 9.64 5
0.058 0.116 9.64 5
0.058 0.116 9.64 5
-0.2 0.145 9.017 5
-0.2 0.145 9.017 5
-0.2 0.145 9.017 5
-0.2 0.145 9.017 5
0.201 0.03 9.726 5
0.201 0.03 9.726 5
0.201 0.03 9.726 5
0.201 0.03 9.726 5
-0.152 -0.094 9.726 5
-0.152 -0.094 9.726 5
-0.152 -0.094 9.726 5
-0.037 0.02 9.065 5
-0.037 0.02 9.065 5
-0.037 0.02 9.065 5
-0.037 0.02 9.065 5
-0.248 0.212 9.324 5
-0.248 0.212 9.324 5
-0.248 0.212 9.324 5
-0.248 0.212 9.324 5
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
