,axis,mean,std,skew,kurt,rms,pp,crest,margin,impulse,shape,max,fault,severity,seq,rpm
0,ax,0.010899002597707345,1.1158094510735477,-0.7275951842137894,-0.19596620766334993,1.115860234821003,6.673,4.3975041379507,6.006357567543914,5.271832786457535,1.1988238375858096,1.766,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
1,ay,0.9852266080107128,0.6063844689790139,1.0987815935003467,2.1466246284619546,1.1568802799276596,4.996563236580135,4.319573165656877,5.6146910756275865,5.072162051269729,1.1742276046152829,4.9972290130531345,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
2,az,0.0021697366179078644,0.05868020235670386,-0.40108783372481366,0.2904749540758518,0.058720173848778104,0.58986,5.048179877045245,7.5142059315829774,6.361305919485815,1.2601187109856233,0.29343,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
3,bx,0.05898252494869001,2.1332038680342924,0.055013077090967144,-0.8628921187937011,2.134014465826948,10.8061,2.869896197084467,3.929832351834634,3.41308063659116,1.189269716465186,6.1244,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
4,by,1.8077604408291494,1.1489696025832685,0.3825407017980709,-0.5616947482590335,2.141990470167934,6.124077150962782,2.8604984408439766,3.863107447312935,3.3893652399029937,1.1848862392328303,6.127160400218032,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
5,bz,0.005204155852747648,0.43796220086570964,0.30537549989014817,-0.5820529982012754,0.4379921598756561,2.5379,3.400289175091183,4.6206028605021965,4.056519823929999,1.1929926000547346,1.4893,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
6,mic,0.01760422591986661,0.14527200863634965,0.9258151141934065,0.7870079541677906,0.14633445522577473,1.32695,5.763030987465346,8.526545845553068,7.305600351427266,1.2676663317127783,0.84333,horizontal-misalignment,0.5mm,12.288.csv,688.1286738343445
0,ax,0.03992785304972212,1.166605537259789,-0.3750761707882453,-0.928240442421314,1.1672861102728944,6.0283,3.5517427677013558,4.614492106179852,4.110803756119966,1.1574046953801296,1.8824,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
1,ay,1.0661320621199852,0.5589095525004931,0.4290242857983629,0.24709081660580745,1.2037508542346615,4.1937051159360825,3.487086133090886,4.267713867090353,3.9372072753831038,1.12908231259927,4.197582911497997,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
2,az,0.001681396434718229,0.059213361837095,-0.12159644277009365,0.12399500601850288,0.05923710191605575,0.63066,5.409278807293406,8.011883342648854,6.790069481145952,1.2552633582115988,0.32043,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
3,bx,0.0654171354376896,0.9048226981838037,0.07537950674256028,-0.5751236402408963,0.9071824500976602,5.2012,3.1061006522961923,4.362509967115953,3.7675384128584373,1.2129479481205079,2.8178,horizontal-misalignment,0.5mm,13.5168.csv,796.1520497871558
