rpm_limit,hardware,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_margin,temporal_shape,temporal_impulse,temporal_crest,temporal_skewness,temporal_kurtosis,spectral_flux,spectral_noisiness,spectral_roll_off,spectral_entropy,spectral_negentropy,spectral_std,spectral_roll_on,spectral_energy,spectral_skewness,spectral_kurtosis,spectral_centroid
False,shaft,fault,A,False,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,shaft,fault,A,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
False,shaft,fault,B,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
False,shaft,fault,B,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True
False,shaft,anomaly_60,A,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
False,shaft,anomaly_60,A,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,shaft,anomaly_60,B,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
False,shaft,anomaly_60,B,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
False,shaft,anomaly_90,A,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False
False,shaft,anomaly_90,A,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
False,shaft,anomaly_90,B,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
False,shaft,anomaly_90,B,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
False,bearings,fault,A,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
False,bearings,fault,A,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
False,bearings,fault,B,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
False,bearings,fault,B,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
False,bearings,anomaly_60,A,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
False,bearings,anomaly_60,A,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
False,bearings,anomaly_60,B,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True
False,bearings,anomaly_60,B,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True
False,bearings,anomaly_90,A,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False
False,bearings,anomaly_90,A,True,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False
False,bearings,anomaly_90,B,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True
False,bearings,anomaly_90,B,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True
True,shaft,fault,A,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
