rpm_limit,hardware,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_margin,temporal_shape,temporal_impulse,temporal_crest,temporal_skewness,temporal_kurtosis,spectral_flux,spectral_noisiness,spectral_roll_off,spectral_entropy,spectral_negentropy,spectral_std,spectral_roll_on,spectral_energy,spectral_skewness,spectral_kurtosis,spectral_centroid
False,shaft,fault,A,False,1.0,2.0,3.5568933044900626,3.634241185664279,5.241482788417794,5.848035476425731,6.649399761150975,7.651724731089557,9.321697517861576,9.654893846056302,1.5874010519681994,2.2894284851066637,2.519842099789746,3.5568933044900626,5.848035476425731,6.000000000000001,6.2316796843697535,7.651724731089557,7.883735163105242,9.622602989987483,9.654893846056302
False,shaft,fault,B,False,2.0,3.1072325059538586,4.217163326508746,4.578856970213327,3.8258623655447774,9.321697517861576,7.230426792525691,7.268482371328559,2.7589241763811208,5.848035476425733,4.578856970213327,3.77976314968462,5.848035476425733,2.6207413942088964,6.603854497789252,4.641588833612778,8.138223044397703,7.398636222991413,7.651724731089557,10.656022367666111,1.0
False,shaft,anomaly_60,A,False,1.5874010519681994,2.620741394208897,1.5874010519681994,4.308869380063767,7.113786608980125,8.276772529143365,7.611662611020245,7.268482371328559,4.217163326508746,9.28317766722556,9.461524902909401,4.578856970213327,2.0800838230519045,4.999999999999999,7.113786608980125,2.2894284851066637,5.039684199579492,1.5874010519681994,9.654893846056302,9.622602989987483,7.318611420045943
False,shaft,anomaly_60,B,False,1.2599210498948732,2.2894284851066637,4.0,3.5568933044900626,7.611662611020245,5.593444710406984,7.113786608980125,7.268482371328559,9.28317766722556,4.326748710922226,5.604078661310775,5.646216173286171,3.659305710022972,3.77976314968462,7.999999999999998,1.2599210498948732,10.656022367666111,4.217163326508746,9.000000000000002,8.879040017426007,2.519842099789746
False,shaft,anomaly_90,A,False,2.0800838230519045,3.1748021039363987,1.5874010519681994,2.7144176165949063,9.321697517861576,8.879040017426007,7.999999999999998,6.649399761150975,4.217163326508746,6.868285455319991,6.603854497789252,2.8844991406148166,2.924017738212866,7.133492489728308,5.428835233189813,3.5568933044900626,5.848035476425733,1.5874010519681994,7.611662611020245,9.622602989987483,7.651724731089557
False,shaft,anomaly_90,B,False,2.0800838230519045,3.1748021039363987,4.762203155904598,4.999999999999999,7.651724731089557,3.4199518933533946,9.000000000000002,7.368062997280775,7.318611420045943,1.8171205928321397,7.999999999999998,4.641588833612778,7.113786608980125,3.0000000000000004,7.611662611020245,1.0,10.322801154563672,3.1748021039363987,8.276772529143365,8.987637347075681,2.7144176165949063
False,bearings,fault,A,False,1.0,2.0,3.0000000000000004,4.641588833612778,7.318611420045943,5.646216173286171,8.320335292207616,9.321697517861576,4.578856970213327,8.879040017426007,10.322801154563672,8.706587691173613,2.2894284851066637,8.895920362277263,6.214465011907715,3.3019272488946263,4.610436292058446,6.868285455319992,1.9129311827723892,4.481404746557165,3.9148676411688634
False,bearings,fault,B,False,2.0800838230519045,3.1748021039363987,1.4422495703074085,2.519842099789746,5.646216173286171,9.321697517861576,6.999999999999999,7.268482371328559,5.848035476425731,9.654893846056297,6.9520532897729,4.308869380063767,1.5874010519681994,7.318611420045943,7.55952629936924,4.641588833612778,1.2599210498948732,6.240251469155714,10.656022367666111,10.322801154563672,3.77976314968462
False,bearings,anomaly_60,A,False,4.326748710922226,5.848035476425733,7.999999999999998,6.868285455319991,3.3019272488946263,1.4422495703074085,4.578856970213327,6.299605249474365,3.0365889718756627,6.257324745675973,1.4422495703074085,3.3019272488946263,3.659305710022972,2.8844991406148166,5.039684199579492,8.457690558114923,5.45136177849642,8.879040017426007,6.299605249474365,7.343420462049963,8.320335292207616
False,bearings,anomaly_60,B,False,2.7144176165949063,3.77976314968462,9.28317766722556,7.883735163105242,6.3496042078727974,5.45136177849642,4.762203155904598,4.820284528350459,6.0822019955734,1.0,3.1748021039363983,4.820284528350459,4.610436292058446,1.5874010519681994,9.000000000000002,4.999999999999999,4.641588833612779,8.987637347075681,7.113786608980125,8.895920362277263,3.0000000000000004
