,train,test,features,f,k,domain
0,0.9590865676552063,0.8795174310795897,"['zerocross', 'pp', 'aac']",3,3,temporal
1,0.9538152661042367,0.8694789443314678,"['zerocross', 'pp', 'rms']",3,3,temporal
2,0.9596722017187886,0.8919015366688514,"['zerocross', 'pp', 'skewness']",3,3,temporal
3,0.939257116558083,0.8376867615670325,"['zerocross', 'pp', 'kurtosis']",3,3,temporal
4,0.958918678657238,0.8918964947367831,"['zerocross', 'pp', 'shape']",3,3,temporal
5,0.951639813876654,0.8741595379349366,"['zerocross', 'pp', 'crest']",3,3,temporal
6,0.9521419759243607,0.8738228489157045,"['zerocross', 'pp', 'impulse']",3,3,temporal
7,0.9517236358800172,0.8734884007551693,"['zerocross', 'pp', 'clearance']",3,3,temporal
8,0.9580821385635463,0.8775163442631216,"['zerocross', 'aac', 'rms']",3,3,temporal
9,0.9558237393013199,0.8755051735825168,"['zerocross', 'aac', 'skewness']",3,3,temporal
10,0.9356592801807334,0.8323350307837962,"['zerocross', 'aac', 'kurtosis']",3,3,temporal
11,0.958668052617119,0.8949076486109477,"['zerocross', 'aac', 'shape']",3,3,temporal
12,0.9523093749398459,0.8741645798670049,"['zerocross', 'aac', 'crest']",3,3,temporal
13,0.9530623030226669,0.8721578909037945,"['zerocross', 'aac', 'impulse']",3,3,temporal
14,0.95297858601555,0.8775152238337732,"['zerocross', 'aac', 'clearance']",3,3,temporal
15,0.957914949540554,0.8825319462417998,"['zerocross', 'rms', 'skewness']",3,3,temporal
16,0.9409299867529736,0.838356218102777,"['zerocross', 'rms', 'kurtosis']",3,3,temporal
17,0.9564088483836702,0.8915631670055966,"['zerocross', 'rms', 'shape']",3,3,temporal
18,0.9528113969925576,0.8778418289888684,"['zerocross', 'rms', 'crest']",3,3,temporal
19,0.951807387885883,0.8751668039192617,"['zerocross', 'rms', 'impulse']",3,3,temporal
20,0.952225797927724,0.8761729494742386,"['zerocross', 'rms', 'clearance']",3,3,temporal
21,0.9139057378698711,0.7767690178876545,"['zerocross', 'skewness', 'kurtosis']",3,3,temporal
22,0.9426036969178352,0.8534063853268572,"['zerocross', 'skewness', 'shape']",3,3,temporal
23,0.9304713106506443,0.8182708413864193,"['zerocross', 'skewness', 'crest']",3,3,temporal
24,0.9339855700158719,0.8283098883492155,"['zerocross', 'skewness', 'impulse']",3,3,temporal
25,0.9354915661765091,0.827642672672168,"['zerocross', 'skewness', 'clearance']",3,3,temporal
26,0.9154954510376253,0.7938370783684306,"['zerocross', 'kurtosis', 'shape']",3,3,temporal
27,0.9157459370827492,0.7804597121617004,"['zerocross', 'kurtosis', 'crest']",3,3,temporal
28,0.9153277720321498,0.7884931905906344,"['zerocross', 'kurtosis', 'impulse']",3,3,temporal
29,0.9170010622120259,0.7945171789829863,"['zerocross', 'kurtosis', 'clearance']",3,3,temporal
30,0.9445277881315743,0.8544203738872737,"['zerocross', 'shape', 'crest']",3,3,temporal
31,0.9433564500069123,0.851409220013109,"['zerocross', 'shape', 'impulse']",3,3,temporal
32,0.9436911080428875,0.8500697467269458,"['zerocross', 'shape', 'clearance']",3,3,temporal
33,0.9196784314960741,0.7915037842501246,"['zerocross', 'crest', 'impulse']",3,3,temporal
34,0.9239458289366155,0.8085718447309009,"['zerocross', 'crest', 'clearance']",3,3,temporal
35,0.9166664741735483,0.7958572124838238,"['zerocross', 'impulse', 'clearance']",3,3,temporal
36,0.9411816277568077,0.8617776732043719,"['pp', 'aac', 'rms']",3,3,temporal
37,0.9429378999700759,0.8641305748362772,"['pp', 'aac', 'skewness']",3,3,temporal
38,0.9163325511112979,0.8002117611468715,"['pp', 'aac', 'kurtosis']",3,3,temporal
39,0.9501339927097605,0.8584387937457635,"['pp', 'aac', 'shape']",3,3,temporal
40,0.9385872405061519,0.8457241614986863,"['pp', 'aac', 'crest']",3,3,temporal
41,0.9400933416630355,0.8487409175195936,"['pp', 'aac', 'impulse']",3,3,temporal
42,0.9404282446902522,0.8517515111790839,"['pp', 'aac', 'clearance']",3,3,temporal
43,0.9208496996232386,0.8316650140333776,"['pp', 'rms', 'skewness']",3,3,temporal
44,0.9011875075466053,0.7878203727668442,"['pp', 'rms', 'kurtosis']",3,3,temporal
45,0.9241968749617202,0.8142557828159751,"['pp', 'rms', 'shape']",3,3,temporal
46,0.9036141107955391,0.7771146703416749,"['pp', 'rms', 'crest']",3,3,temporal
47,0.9048692709235645,0.7747785751499976,"['pp', 'rms', 'impulse']",3,3,temporal
48,0.9016897395918096,0.7680795280751584,"['pp', 'rms', 'clearance']",3,3,temporal
49,0.8861281759177111,0.7570365764160827,"['pp', 'skewness', 'kurtosis']",3,3,temporal
50,0.9349058971141782,0.8430485762144053,"['pp', 'skewness', 'shape']",3,3,temporal
51,0.918841786406136,0.815264729444323,"['pp', 'skewness', 'crest']",3,3,temporal
52,0.9204312195838998,0.8152680907323686,"['pp', 'skewness', 'impulse']",3,3,temporal
53,0.9207659826161214,0.817942555587301,"['pp', 'skewness', 'clearance']",3,3,temporal
54,0.9125664757484919,0.7767802221811398,"['pp', 'kurtosis', 'shape']",3,3,temporal
55,0.8944103848287422,0.762716592998437,"['pp', 'kurtosis', 'crest']",3,3,temporal
56,0.8939927797581235,0.75937659311048,"['pp', 'kurtosis', 'impulse']",3,3,temporal
57,0.8928215116309592,0.7553615345400357,"['pp', 'kurtosis', 'clearance']",3,3,temporal
58,0.9284639574135225,0.8303238601031915,"['pp', 'shape', 'crest']",3,3,temporal
59,0.9292169904925899,0.8249704486759326,"['pp', 'shape', 'impulse']",3,3,temporal
60,0.9294680715164432,0.8236320958191179,"['pp', 'shape', 'clearance']",3,3,temporal
61,0.8965861870438132,0.7630639260964801,"['pp', 'crest', 'impulse']",3,3,temporal
62,0.9031965407236692,0.7751102222371613,"['pp', 'crest', 'clearance']",3,3,temporal
63,0.892068443553143,0.754023181683221,"['pp', 'impulse', 'clearance']",3,3,temporal
64,0.944945918183425,0.8718290448900017,"['aac', 'rms', 'skewness']",3,3,temporal
65,0.9258700601453498,0.8102463263922735,"['aac', 'rms', 'kurtosis']",3,3,temporal
66,0.9381694604417892,0.8296572046408184,"['aac', 'rms', 'shape']",3,3,temporal
67,0.9382527224651719,0.8430496966437537,"['aac', 'rms', 'crest']",3,3,temporal
68,0.9370815243355051,0.8437202736088467,"['aac', 'rms', 'impulse']",3,3,temporal
69,0.9369143003137637,0.8497437017865247,"['aac', 'rms', 'clearance']",3,3,temporal
70,0.8740788766801586,0.7346156647227218,"['aac', 'skewness', 'kurtosis']",3,3,temporal
71,0.9328980538945734,0.8273115857996786,"['aac', 'skewness', 'shape']",3,3,temporal
72,0.9180890683158076,0.8119185671949489,"['aac', 'skewness', 'crest']",3,3,temporal
73,0.9181726103291808,0.8166025220864637,"['aac', 'skewness', 'impulse']",3,3,temporal
74,0.9195112074743328,0.8229626392833733,"['aac', 'skewness', 'clearance']",3,3,temporal
75,0.8968377580501496,0.7473252550377304,"['aac', 'kurtosis', 'shape']",3,3,temporal
76,0.880773367352117,0.7436474457011926,"['aac', 'kurtosis', 'crest']",3,3,temporal
77,0.8768409429362901,0.7342688918393528,"['aac', 'kurtosis', 'impulse']",3,3,temporal
78,0.8752510897735405,0.7349428300924915,"['aac', 'kurtosis', 'clearance']",3,3,temporal
79,0.9184241463367684,0.8072385338061545,"['aac', 'shape', 'crest']",3,3,temporal
80,0.9174200672325965,0.8045556657311081,"['aac', 'shape', 'impulse']",3,3,temporal
81,0.9158304240623398,0.8008744951065248,"['aac', 'shape', 'clearance']",3,3,temporal
82,0.8863784869690908,0.7489986162697545,"['aac', 'crest', 'impulse']",3,3,temporal
83,0.8898925363418257,0.7600449292168759,"['aac', 'crest', 'clearance']",3,3,temporal
84,0.8762551338789638,0.7339378049668632,"['aac', 'impulse', 'clearance']",3,3,temporal
85,0.8839522687063937,0.7523537419539166,"['rms', 'skewness', 'kurtosis']",3,3,temporal
86,0.9288822274603682,0.8360117196909854,"['rms', 'skewness', 'shape']",3,3,temporal
87,0.9160810151037101,0.8085684834428554,"['rms', 'skewness', 'crest']",3,3,temporal
88,0.9164990751580631,0.8119146456922293,"['rms', 'skewness', 'impulse']",3,3,temporal
89,0.9187581393965166,0.8196114351019311,"['rms', 'skewness', 'clearance']",3,3,temporal
90,0.9077139692256001,0.7757763174848603,"['rms', 'kurtosis', 'shape']",3,3,temporal
91,0.8872989540623923,0.7396318269160742,"['rms', 'kurtosis', 'crest']",3,3,temporal
92,0.8882194561544425,0.7416396363086334,"['rms', 'kurtosis', 'impulse']",3,3,temporal
93,0.8893909342740998,0.748665288538568,"['rms', 'kurtosis', 'clearance']",3,3,temporal
94,0.9258704451315865,0.8202752894909329,"['rms', 'shape', 'crest']",3,3,temporal
95,0.9264559741989224,0.8202741690615845,"['rms', 'shape', 'impulse']",3,3,temporal
96,0.9258703401353401,0.8199402811157237,"['rms', 'shape', 'clearance']",3,3,temporal
97,0.8877176090954748,0.7446535912561693,"['rms', 'crest', 'impulse']",3,3,temporal
98,0.8946619908338278,0.7530187167722672,"['rms', 'crest', 'clearance']",3,3,temporal
99,0.8856261888637482,0.7446519106121465,"['rms', 'impulse', 'clearance']",3,3,temporal
100,0.8877176440942236,0.7342677714100042,"['skewness', 'kurtosis', 'shape']",3,3,temporal
101,0.884203909710228,0.7352817599704207,"['skewness', 'kurtosis', 'crest']",3,3,temporal
102,0.8835336836708088,0.7342856982795807,"['skewness', 'kurtosis', 'impulse']",3,3,temporal
103,0.8786809321566753,0.7299294689725102,"['skewness', 'kurtosis', 'clearance']",3,3,temporal
