,train,test,features,f,k,domain
0,0.9969136170196922,0.9907365607365609,"['zerocross', 'pp', 'aac']",3,3,temporal
1,0.9969136170196922,0.993825363825364,"['zerocross', 'pp', 'rms']",3,3,temporal
2,0.990355495321744,0.9783872883872885,"['zerocross', 'pp', 'skewness']",3,3,temporal
3,0.9953707047728262,0.9853370953370953,"['zerocross', 'pp', 'kurtosis']",3,3,temporal
4,0.9959494830275929,0.9853341253341255,"['zerocross', 'pp', 'shape']",3,3,temporal
5,0.9984567154287503,0.993825363825364,"['zerocross', 'pp', 'crest']",3,3,temporal
6,0.9978779371739834,0.993825363825364,"['zerocross', 'pp', 'impulse']",3,3,temporal
7,0.9978779371739834,0.993825363825364,"['zerocross', 'pp', 'clearance']",3,3,temporal
8,0.9969136170196922,0.9945975645975645,"['zerocross', 'aac', 'rms']",3,3,temporal
9,0.9961417885718753,0.98996732996733,"['zerocross', 'aac', 'skewness']",3,3,temporal
10,0.9963348387649255,0.9930531630531633,"['zerocross', 'aac', 'kurtosis']",3,3,temporal
11,0.9971064810505504,0.993053163053163,"['zerocross', 'aac', 'shape']",3,3,temporal
12,0.9965277027957837,0.9945975645975647,"['zerocross', 'aac', 'crest']",3,3,temporal
13,0.9965277027957837,0.9945975645975647,"['zerocross', 'aac', 'impulse']",3,3,temporal
14,0.9965277027957837,0.9945975645975647,"['zerocross', 'aac', 'clearance']",3,3,temporal
15,0.9965277027957837,0.9915117315117316,"['zerocross', 'rms', 'skewness']",3,3,temporal
16,0.997492209112267,0.9961419661419662,"['zerocross', 'rms', 'kurtosis']",3,3,temporal
17,0.9978779371739834,0.9969141669141669,"['zerocross', 'rms', 'shape']",3,3,temporal
18,0.996720752988834,0.9961449361449362,"['zerocross', 'rms', 'crest']",3,3,temporal
19,0.996720752988834,0.9961449361449362,"['zerocross', 'rms', 'impulse']",3,3,temporal
20,0.996720752988834,0.9961449361449362,"['zerocross', 'rms', 'clearance']",3,3,temporal
21,0.9866905202488615,0.9683724383724384,"['zerocross', 'skewness', 'kurtosis']",3,3,temporal
22,0.9944061984563429,0.9892040392040393,"['zerocross', 'skewness', 'shape']",3,3,temporal
23,0.9918982214064181,0.9791832491832493,"['zerocross', 'skewness', 'crest']",3,3,temporal
24,0.9915123071825096,0.9791832491832493,"['zerocross', 'skewness', 'impulse']",3,3,temporal
25,0.9915123071825096,0.9807276507276509,"['zerocross', 'skewness', 'clearance']",3,3,temporal
26,0.9691357978725386,0.9382714582714582,"['zerocross', 'kurtosis', 'shape']",3,3,temporal
27,0.9643130801279307,0.9282387882387881,"['zerocross', 'kurtosis', 'crest']",3,3,temporal
28,0.9672062267529963,0.9212949212949214,"['zerocross', 'kurtosis', 'impulse']",3,3,temporal
29,0.9689423753551043,0.9266943866943868,"['zerocross', 'kurtosis', 'clearance']",3,3,temporal
30,0.9718362666289379,0.9374903474903474,"['zerocross', 'shape', 'crest']",3,3,temporal
